RANK,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT
1,Milwaukee Bucks,82,58,24,12.0,109.7,9.2,74.1,1.8,1.2,4.0,3.4,3.2,12.5
2,Boston Celtics,82,57,25,12.0,112.2,8.6,72.9,1.6,1.2,3.9,3.3,3.6,12.8
3,Philadelphia 76ers,82,54,28,12.0,116.2,7.6,70.6,2.0,1.2,4.1,3.3,4.2,12.9
4,Denver Nuggets,82,53,29,12.0,118.4,7.8,69.3,1.8,1.2,4.3,3.5,3.7,14.2
5,Cleveland Cavaliers,82,51,31,12.0,108.2,7.8,71.9,1.9,1.0,3.8,3.0,3.7,12.3
5,Memphis Grizzlies,82,51,31,12.0,110.3,8.7,70.9,2.2,1.4,4.0,3.5,3.2,11.7
7,Sacramento Kings,82,48,34,12.0,117.1,8.4,73.1,1.7,0.7,4.5,3.2,3.4,13.9
8,New York Knicks,82,47,35,12.0,114.4,8.4,73.1,1.6,1.1,3.8,3.3,3.0,11.5
9,Brooklyn Nets,82,45,37,12.0,115.2,8.0,69.6,1.8,1.2,4.8,3.3,3.6,12.8
9,Phoenix Suns,82,45,37,12.0,109.1,8.4,70.5,1.7,1.5,3.5,3.4,3.1,11.6
11,Golden State Warriors,82,44,38,12.0,112.1,8.5,70.7,1.8,0.8,5.3,3.6,3.8,12.3
11,LA Clippers,82,44,38,12.0,117.5,7.9,71.2,2.0,1.0,5.2,3.7,3.7,13.1
11,Miami Heat,82,44,38,12.0,111.5,8.0,74.0,1.9,0.7,3.6,3.2,3.5,10.8
14,Los Angeles Lakers,82,43,39,12.0,111.2,9.2,72.1,1.7,1.2,4.0,3.6,3.8,13.5
15,Minnesota Timberwolves,82,42,40,12.0,108.8,8.7,68.8,2.3,1.4,4.4,3.8,3.7,13.0
15,New Orleans Pelicans,82,42,40,12.0,107.7,8.3,72.6,2.1,1.0,4.6,3.2,3.4,12.8
17,Atlanta Hawks,82,41,41,12.0,116.5,8.3,73.3,1.7,1.3,4.5,3.4,4.0,14.7
17,Toronto Raptors,82,41,41,12.0,114.8,7.6,70.6,2.2,1.3,3.8,3.2,4.2,13.3
19,Chicago Bulls,82,40,42,12.0,111.6,8.2,73.6,2.0,1.1,3.8,2.8,3.1,11.8
19,Oklahoma City Thunder,82,40,42,12.0,114.3,8.0,68.3,2.1,1.0,3.5,4.1,3.0,12.4
21,Dallas Mavericks,82,38,44,12.0,116.3,7.6,72.5,1.7,0.9,3.9,3.5,3.6,12.8
22,Utah Jazz,82,37,45,12.0,115.5,8.5,71.2,1.7,1.2,5.1,3.9,4.5,13.7
23,Indiana Pacers,82,35,47,12.0,112.4,8.1,69.2,2.0,1.5,4.4,3.6,4.1,13.9
23,Washington Wizards,82,35,47,12.0,118.2,8.1,71.0,1.7,1.0,4.6,4.2,3.6,13.5
25,Orlando Magic,82,34,48,12.0,115.0,8.4,71.1,1.9,1.3,4.9,3.3,4.3,12.2
26,Portland Trail Blazers,82,33,49,12.0,116.1,7.9,69.0,1.9,1.3,5.0,3.7,4.1,14.1
27,Charlotte Hornets,82,27,55,12.0,119.8,8.5,72.7,1.6,1.3,4.5,3.5,3.7,13.7
28,Houston Rockets,82,22,60,12.0,118.9,8.1,69.9,1.8,1.2,5.3,4.0,4.6,12.0
28,San Antonio Spurs,82,22,60,12.0,117.8,8.3,70.4,1.8,1.1,5.1,3.7,4.1,14.9
30,Detroit Pistons,82,17,65,12.0,114.3,8.0,71.0,1.8,0.8,4.9,3.4,3.6,14.0
