RANK,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT
1,Milwaukee Bucks,82,58,24,12.0,109.6,10.2,77.2,1.5,1.4,4.3,3.1,3.4,11.7
2,Boston Celtics,82,57,25,12.0,107.2,9.8,76.1,1.5,1.4,3.6,3.2,3.0,12.1
3,Philadelphia 76ers,82,54,28,12.0,111.7,8.6,74.6,1.8,0.9,4.5,3.2,3.9,12.4
4,Denver Nuggets,82,53,29,12.0,111.7,8.9,75.6,2.0,1.0,4.3,3.3,3.6,13.6
5,Cleveland Cavaliers,82,51,31,12.0,111.9,7.8,73.0,1.9,1.1,3.9,3.0,3.7,12.0
5,Memphis Grizzlies,82,51,31,12.0,104.9,9.5,73.0,2.4,1.7,3.4,3.3,2.9,11.0
7,Sacramento Kings,82,48,34,12.0,117.1,8.8,74.1,1.7,0.7,3.8,3.2,3.5,14.0
8,New York Knicks,82,47,35,12.0,112.6,9.1,77.2,1.6,1.0,3.7,2.8,3.8,11.4
9,Brooklyn Nets,82,45,37,12.0,114.3,8.4,71.2,1.7,1.4,3.6,3.6,3.7,12.9
9,Phoenix Suns,82,45,37,12.0,110.0,8.6,73.2,1.8,1.1,4.0,3.4,3.3,11.8
11,Golden State Warriors,82,44,38,12.0,116.6,9.1,73.8,1.7,0.8,4.5,3.3,4.1,13.0
11,LA Clippers,82,44,38,12.0,111.4,8.9,77.2,1.6,1.1,4.3,2.7,4.2,12.3
11,Miami Heat,82,44,38,12.0,116.5,8.0,75.5,2.1,0.7,4.1,2.7,3.6,12.8
14,Los Angeles Lakers,82,43,39,12.0,112.2,9.3,75.1,1.6,1.2,4.5,3.4,3.8,12.2
15,Minnesota Timberwolves,82,42,40,12.0,113.2,8.2,72.4,1.9,1.4,4.0,3.3,3.8,12.9
15,New Orleans Pelicans,82,42,40,12.0,110.0,8.7,75.5,2.1,1.0,4.7,3.1,4.0,12.5
17,Atlanta Hawks,82,41,41,12.0,114.5,8.8,73.5,1.9,1.2,3.1,3.0,4.1,14.4
17,Toronto Raptors,82,41,41,12.0,111.5,7.9,73.7,2.8,1.3,3.5,2.8,3.9,12.8
19,Chicago Bulls,82,40,42,12.0,111.1,9.0,75.9,1.9,1.2,3.8,2.8,3.6,11.6
19,Oklahoma City Thunder,82,40,42,12.0,115.7,8.2,70.6,1.8,1.0,3.5,3.8,3.4,13.8
21,Dallas Mavericks,82,38,44,12.0,117.1,8.2,73.0,1.6,0.8,3.5,3.7,3.4,14.1
22,Utah Jazz,82,37,45,12.0,113.3,9.1,73.0,1.4,1.4,5.0,3.5,4.2,14.0
23,Indiana Pacers,82,35,47,12.0,120.3,8.2,70.8,1.9,1.3,5.1,4.0,4.5,15.2
23,Washington Wizards,82,35,47,12.0,113.0,9.1,74.1,1.7,1.3,4.2,3.2,4.0,13.2
25,Orlando Magic,82,34,48,12.0,110.8,8.5,73.5,2.2,1.1,4.6,3.2,3.7,12.6
26,Portland Trail Blazers,82,33,49,12.0,119.3,7.9,70.5,1.9,1.0,4.2,3.3,3.9,13.3
27,Charlotte Hornets,82,27,55,12.0,114.1,8.4,70.8,2.2,1.3,4.3,3.4,3.3,14.0
28,Houston Rockets,82,22,60,12.0,121.0,8.3,72.9,1.8,1.0,5.3,3.1,4.8,13.8
28,San Antonio Spurs,82,22,60,12.0,121.4,8.2,72.1,1.7,1.2,4.3,3.6,4.4,14.5
30,Detroit Pistons,82,17,65,12.0,120.7,8.3,72.2,1.5,0.8,4.7,3.5,3.5,14.4
