Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-10,WAS vs. NYK,WAS,NYK,Home,W,00:09:23,5,1,7,14.3,0,1,0.0,3,4,75.0,0,0,0,0,0,0,1,1,-12
2020-03-08,WAS vs. MIA,WAS,MIA,Home,L,00:08:19,12,4,5,80.0,3,3,100.0,1,1,100.0,0,1,1,3,0,0,0,0,1
2020-03-06,WAS vs. ATL,WAS,ATL,Home,W,00:08:08,7,2,5,40.0,1,2,50.0,2,2,100.0,0,0,0,1,1,0,1,0,4
2020-03-04,WAS @ POR,WAS,POR,Away,L,00:07:32,9,3,4,75.0,1,2,50.0,2,3,66.7,0,1,1,2,1,0,0,0,-2
2020-03-03,WAS @ SAC,WAS,SAC,Away,L,00:08:32,2,0,5,0.0,0,0,0.0,2,2,100.0,0,0,0,1,0,0,2,1,-15
2020-03-01,WAS @ GSW,WAS,GSW,Away,W,00:08:42,5,1,3,33.3,1,2,50.0,2,2,100.0,0,1,1,2,2,0,0,0,1
2020-02-28,WAS @ UTA,WAS,UTA,Away,L,00:08:23,13,5,7,71.4,3,4,75.0,0,0,0.0,0,2,2,2,0,0,1,0,11
2020-02-26,WAS vs. BKN,WAS,BKN,Home,W,00:08:06,4,1,2,50.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,0,1,0
2020-02-24,WAS vs. MIL,WAS,MIL,Home,L,00:08:57,7,1,5,20.0,0,2,0.0,5,5,100.0,1,0,1,0,0,0,2,1,-2
2020-02-23,WAS @ CHI,WAS,CHI,Away,L,00:08:16,10,2,5,40.0,0,0,0.0,6,8,75.0,0,0,0,0,0,0,1,2,-14
2020-02-21,WAS vs. CLE,WAS,CLE,Home,L,00:08:12,8,4,8,50.0,0,3,0.0,0,1,0.0,0,0,0,0,1,0,3,0,-9
2020-02-12,WAS @ NYK,WAS,NYK,Away,W,00:08:12,10,4,9,44.4,0,0,0.0,2,2,100.0,0,2,2,0,0,0,1,0,-8
2020-02-11,WAS vs. CHI,WAS,CHI,Home,W,00:07:57,11,4,6,66.7,1,2,50.0,2,2,100.0,0,0,0,0,0,0,1,0,-6
2020-02-09,WAS vs. MEM,WAS,MEM,Home,L,00:06:51,7,3,4,75.0,1,1,100.0,0,0,0.0,0,0,0,0,1,0,1,0,8
2020-02-07,WAS vs. DAL,WAS,DAL,Home,W,00:08:30,10,4,6,66.7,1,2,50.0,1,1,100.0,0,1,1,0,0,0,0,0,0
2020-02-03,WAS vs. GSW,WAS,GSW,Home,L,00:09:44,13,3,8,37.5,1,2,50.0,6,6,100.0,0,0,0,0,0,0,1,1,2
2020-02-01,WAS vs. BKN,WAS,BKN,Home,W,00:07:26,5,1,4,25.0,0,0,0.0,3,4,75.0,0,2,2,0,1,0,0,0,1
2020-01-30,WAS vs. CHA,WAS,CHA,Home,W,00:07:06,10,3,6,50.0,2,4,50.0,2,2,100.0,1,0,1,1,0,1,1,0,2
2020-01-28,WAS @ MIL,WAS,MIL,Away,L,00:08:52,11,2,7,28.6,1,2,50.0,6,6,100.0,0,0,0,1,1,1,0,0,-5
2020-01-26,WAS @ ATL,WAS,ATL,Away,L,00:08:23,10,3,5,60.0,1,2,50.0,3,4,75.0,0,1,1,1,1,0,1,0,-1
2020-01-23,WAS @ CLE,WAS,CLE,Away,W,00:06:38,9,4,6,66.7,1,3,33.3,0,0,0.0,0,0,0,4,0,0,1,0,0
