RANK,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT
1,Utah Jazz,72,52,20,12.0,107.8,9.3,75.2,1.6,1.4,4.6,3.3,3.2,12.9
2,Phoenix Suns,72,51,21,12.0,114.0,7.9,70.9,1.8,1.0,4.2,3.5,3.1,12.4
3,Philadelphia 76ers,72,49,23,12.0,109.2,8.4,73.0,2.5,1.4,4.5,2.6,3.8,11.2
4,Brooklyn Nets,72,48,24,12.0,114.6,8.7,72.7,1.7,1.4,3.9,4.2,2.8,11.4
5,Denver Nuggets,72,47,25,12.0,117.4,7.8,73.9,2.1,1.1,4.2,2.8,3.2,11.4
5,LA Clippers,72,47,25,12.0,111.7,8.5,75.3,1.8,1.1,4.1,3.1,2.8,11.7
7,Milwaukee Bucks,72,46,26,12.0,113.7,9.3,75.3,2.0,1.2,3.7,3.3,2.8,11.8
8,Dallas Mavericks,72,42,30,12.0,112.5,8.3,72.5,1.7,1.1,4.5,3.1,3.1,11.3
8,Los Angeles Lakers,72,42,30,12.0,106.6,8.7,76.1,1.8,1.3,4.0,2.5,3.1,11.6
8,Portland Trail Blazers,72,42,30,12.0,115.6,8.2,71.2,1.9,1.3,3.7,3.8,3.6,11.9
11,Atlanta Hawks,72,41,31,12.0,111.8,8.7,73.8,1.7,1.1,3.7,3.1,2.5,11.8
11,New York Knicks,72,41,31,12.0,109.6,8.2,72.1,1.7,1.4,3.8,2.7,2.6,11.2
13,Miami Heat,72,40,32,12.0,107.8,8.4,75.7,2.1,0.8,4.1,2.5,2.8,9.4
14,Golden State Warriors,72,39,33,12.0,107.7,8.7,73.9,2.2,1.0,4.1,3.3,3.6,11.4
15,Memphis Grizzlies,72,38,34,12.0,108.9,8.7,72.2,2.5,1.4,4.2,3.4,3.7,11.9
16,Boston Celtics,72,36,36,12.0,113.4,8.4,74.7,1.9,1.1,4.5,3.5,3.8,11.9
17,Indiana Pacers,72,34,38,12.0,113.0,8.5,70.4,1.9,1.8,4.0,3.6,3.5,13.2
17,Washington Wizards,72,34,38,12.0,109.7,8.7,73.8,2.0,1.2,3.9,3.1,2.5,10.7
19,Charlotte Hornets,72,33,39,12.0,110.7,8.5,71.4,2.1,1.1,4.5,3.3,3.2,11.6
19,San Antonio Spurs,72,33,39,12.0,119.4,8.2,72.9,1.6,1.1,4.1,3.8,3.3,13.3
21,Chicago Bulls,72,31,41,12.0,111.2,8.6,76.0,1.7,1.1,4.7,2.7,3.1,12.7
21,New Orleans Pelicans,72,31,41,12.0,114.3,8.5,74.5,1.9,1.2,4.2,2.8,2.9,11.4
21,Sacramento Kings,72,31,41,12.0,116.5,7.7,71.3,1.9,1.2,4.3,3.3,3.3,13.4
24,Toronto Raptors,72,27,45,12.0,110.5,8.0,71.0,2.2,1.4,4.0,3.4,2.7,11.3
25,Minnesota Timberwolves,72,23,49,12.0,111.9,8.1,70.7,2.0,1.4,4.4,3.5,3.5,12.1
26,Cleveland Cavaliers,72,22,50,12.0,115.1,7.8,71.2,1.9,1.2,4.6,3.4,3.5,12.4
26,Oklahoma City Thunder,72,22,50,12.0,117.2,8.5,72.9,1.8,1.0,5.3,3.3,3.3,12.5
28,Orlando Magic,72,21,51,12.0,115.1,8.3,71.5,1.6,1.0,3.8,2.9,3.4,12.3
29,Detroit Pistons,72,20,52,12.0,110.3,8.0,71.0,2.0,1.4,4.2,3.5,2.7,12.4
30,Houston Rockets,72,17,55,12.0,112.2,8.6,73.7,1.9,1.2,4.3,2.8,3.9,11.6
