Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,WAS vs. CHA,WAS,CHA,Home,W,00:09:34,9,3,5,60.0,1,3,33.3,2,2,100.0,0,2,2,2,0,0,1,1,-4
2021-05-14,WAS vs. CLE,WAS,CLE,Home,W,00:08:27,4,2,4,50.0,0,1,0.0,0,0,0.0,0,3,3,4,0,0,0,0,16
2021-05-12,WAS @ ATL,WAS,ATL,Away,L,00:09:04,2,1,5,20.0,0,3,0.0,0,0,0.0,0,0,0,3,0,0,1,1,-2
2021-05-10,WAS @ ATL,WAS,ATL,Away,L,00:09:06,5,2,5,40.0,1,2,50.0,0,0,0.0,0,2,2,1,0,0,0,1,-14
2021-05-08,WAS @ IND,WAS,IND,Away,W,00:08:43,9,2,5,40.0,1,1,100.0,4,4,100.0,0,5,5,3,0,1,1,1,-6
2021-05-06,WAS @ TOR,WAS,TOR,Away,W,00:08:50,5,2,5,40.0,1,3,33.3,0,0,0.0,0,2,2,3,0,0,0,1,4
2021-05-05,WAS @ MIL,WAS,MIL,Away,L,00:07:58,5,2,5,40.0,0,1,0.0,1,2,50.0,0,4,4,2,0,0,1,1,-8
2021-05-03,WAS vs. IND,WAS,IND,Home,W,00:08:33,2,1,1,100.0,0,0,0.0,0,0,0.0,1,4,5,6,1,1,1,1,12
2021-05-01,WAS @ DAL,WAS,DAL,Away,L,00:07:35,11,5,6,83.3,1,2,50.0,0,0,0.0,0,2,2,1,1,0,0,2,8
2021-04-30,WAS @ CLE,WAS,CLE,Away,W,00:08:53,8,3,5,60.0,0,0,0.0,2,2,100.0,1,2,3,2,0,0,0,1,10
2021-04-28,WAS vs. LAL,WAS,LAL,Home,W,00:09:50,4,1,3,33.3,0,0,0.0,2,2,100.0,0,3,3,4,2,0,0,1,2
2021-04-26,WAS vs. SAS,WAS,SAS,Home,L,00:08:01,0,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,4,0,0,2,0,0
2021-04-25,WAS vs. CLE,WAS,CLE,Home,W,00:06:40,2,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,1,-9
