RANK,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT
1,Boston Celtics,82,64,18,12.0,111.1,8.5,72.9,1.8,1.6,3.5,3.1,3.3,11.7
2,Denver Nuggets,82,57,25,12.0,113.0,8.1,72.2,1.9,1.3,4.2,2.9,3.5,12.6
2,Oklahoma City Thunder,82,57,25,12.0,109.8,8.2,68.0,2.3,1.8,3.7,4.2,2.7,11.5
4,Minnesota Timberwolves,82,56,26,12.0,103.4,8.9,72.9,2.0,1.6,3.3,3.2,3.4,11.0
5,LA Clippers,82,51,31,12.0,116.0,8.3,70.5,2.0,1.3,4.3,3.5,4.0,12.5
6,Dallas Mavericks,82,50,32,12.0,114.3,8.4,70.2,1.8,1.2,4.0,3.7,4.0,12.8
6,New York Knicks,82,50,32,12.0,112.9,7.8,70.3,1.9,1.0,3.8,3.4,3.8,12.2
8,Milwaukee Bucks,82,49,33,12.0,113.9,8.8,74.7,1.6,1.3,3.7,3.1,3.7,13.0
8,New Orleans Pelicans,82,49,33,12.0,116.1,7.8,71.5,2.0,1.1,3.7,3.4,4.0,11.9
8,Phoenix Suns,82,49,33,12.0,112.3,8.9,73.9,1.8,1.3,4.2,3.2,3.5,12.1
11,Cleveland Cavaliers,82,48,34,12.0,113.4,8.1,69.3,2.0,1.1,4.5,3.7,3.3,11.8
12,Indiana Pacers,82,47,35,12.0,116.6,8.1,69.7,1.8,1.9,3.6,3.9,3.3,14.7
12,Los Angeles Lakers,82,47,35,12.0,113.8,9.0,73.9,1.9,1.5,4.4,3.5,4.0,11.9
12,Orlando Magic,82,47,35,12.0,114.6,7.6,70.7,2.0,1.3,4.6,3.5,3.8,11.6
12,Philadelphia 76ers,82,47,35,12.0,111.3,8.1,69.6,2.0,1.5,3.6,3.5,3.3,11.5
16,Golden State Warriors,82,46,36,12.0,113.0,8.7,72.6,1.9,1.2,3.7,3.4,4.1,12.4
16,Miami Heat,82,46,36,12.0,112.4,8.2,72.6,2.0,0.8,4.3,3.4,3.3,11.6
16,Sacramento Kings,82,46,36,12.0,113.4,8.1,77.1,1.9,0.9,4.5,2.3,3.0,12.0
19,Houston Rockets,82,41,41,12.0,114.8,8.5,70.8,1.9,1.2,3.9,3.8,3.0,11.6
20,Chicago Bulls,82,39,43,12.0,117.9,8.1,72.8,1.9,1.4,3.2,3.4,3.6,11.5
21,Atlanta Hawks,82,36,46,12.0,123.7,7.4,71.5,2.0,1.2,4.5,3.3,5.0,12.8
22,Brooklyn Nets,82,32,50,12.0,115.9,8.1,69.6,1.6,1.4,3.8,3.9,4.0,12.6
23,Utah Jazz,82,31,51,12.0,122.7,7.9,71.3,1.6,1.3,4.9,3.5,4.8,13.0
24,Memphis Grizzlies,82,27,55,12.0,118.1,7.5,68.3,2.2,1.5,4.8,3.2,4.1,12.7
25,Toronto Raptors,82,25,57,12.0,122.7,7.5,66.7,1.8,1.1,4.3,3.7,3.8,13.6
26,San Antonio Spurs,82,22,60,12.0,119.9,8.1,69.1,1.8,1.4,4.8,4.0,3.6,14.5
27,Charlotte Hornets,82,21,61,12.0,125.7,7.4,69.4,1.7,1.3,4.3,3.8,4.0,14.6
27,Portland Trail Blazers,82,21,61,12.0,120.6,7.3,69.3,1.7,1.1,4.5,3.4,4.4,13.0
29,Washington Wizards,82,15,67,12.0,126.2,7.4,67.2,1.8,1.3,4.6,4.3,3.8,15.6
30,Detroit Pistons,82,14,68,12.0,123.8,7.9,70.8,1.6,1.2,4.5,3.7,4.3,14.4
