RANK,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT
1,Boston Celtics,82,64,18,12.0,110.9,8.4,72.4,1.6,1.6,3.5,3.4,3.1,11.8
2,Denver Nuggets,82,57,25,12.0,109.9,8.2,70.6,1.6,1.5,4.0,3.5,2.7,11.8
2,Oklahoma City Thunder,82,57,25,12.0,115.7,7.9,71.4,1.9,1.5,3.9,3.6,3.2,11.6
4,Minnesota Timberwolves,82,56,26,12.0,109.9,8.2,72.3,1.9,1.5,3.6,3.3,3.1,10.9
5,LA Clippers,82,51,31,12.0,118.9,7.3,67.7,1.8,1.3,4.2,3.8,3.8,13.5
6,Dallas Mavericks,82,50,32,12.0,115.5,8.0,71.2,1.8,1.2,3.2,3.7,3.5,12.6
6,New York Knicks,82,50,32,12.0,111.1,7.9,74.2,1.7,1.1,3.6,2.9,2.7,10.9
8,Milwaukee Bucks,82,49,33,12.0,119.1,8.0,71.0,1.8,1.2,4.0,4.2,2.5,11.9
8,New Orleans Pelicans,82,49,33,12.0,115.8,7.7,68.7,2.0,1.2,4.2,3.7,2.7,11.7
8,Phoenix Suns,82,49,33,12.0,116.7,7.5,66.1,1.6,1.9,5.0,4.1,3.4,12.3
11,Cleveland Cavaliers,82,48,34,12.0,113.4,7.9,72.7,1.5,1.2,4.3,3.0,2.9,10.6
12,Indiana Pacers,82,47,35,12.0,115.3,7.7,70.1,2.1,1.5,3.9,3.6,3.1,13.1
12,Los Angeles Lakers,82,47,35,12.0,111.9,8.1,70.7,1.8,1.3,4.0,3.8,3.4,12.5
12,Orlando Magic,82,47,35,12.0,109.3,7.7,74.1,2.0,1.4,3.5,3.0,3.0,11.6
12,Philadelphia 76ers,82,47,35,12.0,113.3,7.7,70.2,2.2,1.4,3.4,3.4,3.1,12.1
16,Golden State Warriors,82,46,36,12.0,119.0,7.5,68.4,1.7,1.1,4.2,3.8,3.9,13.1
16,Miami Heat,82,46,36,12.0,113.4,7.9,73.5,1.6,0.7,4.1,3.5,3.0,10.6
16,Sacramento Kings,82,46,36,12.0,116.6,7.5,70.4,1.9,1.0,4.0,3.1,2.3,11.6
19,Houston Rockets,82,41,41,12.0,113.7,8.4,72.0,1.9,1.3,3.5,3.8,2.6,11.8
20,Chicago Bulls,82,39,43,12.0,117.4,7.4,68.2,1.8,1.3,3.6,3.7,3.0,11.0
21,Atlanta Hawks,82,36,46,12.0,117.4,7.7,72.4,1.7,1.0,4.1,3.1,3.4,12.8
22,Brooklyn Nets,82,32,50,12.0,115.7,7.6,70.2,1.7,1.2,3.7,3.8,3.3,11.5
23,Utah Jazz,82,31,51,12.0,113.9,8.4,71.0,1.5,1.4,4.8,3.8,3.8,12.1
24,Memphis Grizzlies,82,27,55,12.0,109.2,7.9,68.6,1.8,1.6,4.3,4.0,2.6,11.5
25,Toronto Raptors,82,25,57,12.0,117.8,7.7,68.8,1.9,1.2,3.8,4.2,3.5,13.5
26,San Antonio Spurs,82,22,60,12.0,117.0,7.7,71.8,1.5,1.7,4.2,3.5,3.2,12.7
27,Charlotte Hornets,82,21,61,12.0,117.8,7.4,68.4,1.6,1.0,3.8,4.1,2.7,12.5
27,Portland Trail Blazers,82,21,61,12.0,108.9,7.4,69.2,1.9,1.1,4.7,3.3,3.1,11.7
29,Washington Wizards,82,15,67,12.0,112.8,7.9,67.3,2.1,1.3,3.5,3.9,2.7,13.0
30,Detroit Pistons,82,14,68,12.0,115.3,8.0,73.0,1.6,1.1,4.3,3.5,2.4,12.0
