Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-09,TOR vs. MEM,TOR,MEM,Home,W,00:12:00,6,2,5,40.0,1,4,25.0,1,2,50.0,0,2,2,2,0,0,5,1,-8
2020-08-05,TOR @ ORL,TOR,ORL,Away,W,00:10:33,1,0,2,0.0,0,2,0.0,1,2,50.0,1,2,3,4,1,0,2,0,1
2020-08-03,TOR @ MIA,TOR,MIA,Away,W,00:12:00,6,1,4,25.0,0,0,0.0,4,4,100.0,0,3,3,1,0,0,1,0,-1
2020-08-01,TOR vs. LAL,TOR,LAL,Home,W,00:06:38,10,2,3,66.7,2,3,66.7,4,5,80.0,0,4,4,1,0,0,0,1,15
2020-03-09,TOR @ UTA,TOR,UTA,Away,W,00:12:00,3,1,4,25.0,1,3,33.3,0,2,0.0,0,1,1,2,1,0,1,1,3
2020-03-08,TOR @ SAC,TOR,SAC,Away,W,00:12:00,13,5,7,71.4,3,5,60.0,0,0,0.0,0,1,1,2,1,0,0,1,1
2020-03-05,TOR @ GSW,TOR,GSW,Away,W,00:07:59,7,2,4,50.0,1,3,33.3,2,2,100.0,0,0,0,1,1,0,1,0,6
2020-03-03,TOR @ PHX,TOR,PHX,Away,W,00:07:59,7,1,3,33.3,1,2,50.0,4,4,100.0,0,3,3,3,0,0,0,0,15
2020-03-01,TOR @ DEN,TOR,DEN,Away,L,00:07:30,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,3,0,0,1,0,-6
2020-02-28,TOR vs. CHA,TOR,CHA,Home,L,00:11:59,12,3,6,50.0,2,5,40.0,4,6,66.7,2,2,4,1,1,1,1,1,6
2020-02-25,TOR vs. MIL,TOR,MIL,Home,L,00:12:00,4,0,2,0.0,0,1,0.0,4,4,100.0,0,0,0,1,0,0,3,3,2
2020-02-23,TOR vs. IND,TOR,IND,Home,W,00:02:31,0,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,3,1,0,0,0,8
2020-02-21,TOR vs. PHX,TOR,PHX,Home,W,00:10:32,5,1,3,33.3,1,2,50.0,2,2,100.0,0,2,2,2,0,0,1,0,2
2020-02-12,TOR @ BKN,TOR,BKN,Away,L,00:06:47,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,3,0,0,0,0,3
2020-02-10,TOR vs. MIN,TOR,MIN,Home,W,00:12:00,7,2,6,33.3,1,2,50.0,2,2,100.0,0,1,1,2,0,1,2,0,-1
2020-02-05,TOR vs. IND,TOR,IND,Home,W,00:08:10,12,3,4,75.0,2,2,100.0,4,4,100.0,2,1,3,2,0,0,0,1,10
2020-01-31,TOR @ DET,TOR,DET,Away,W,00:03:28,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
2020-01-30,TOR @ CLE,TOR,CLE,Away,W,00:06:40,0,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,0,1,2
2020-01-28,TOR vs. ATL,TOR,ATL,Home,W,00:06:08,3,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,4,0,0,1,1,12
2020-01-26,TOR @ SAS,TOR,SAS,Away,W,00:05:50,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
2020-01-24,TOR @ NYK,TOR,NYK,Away,W,00:07:24,7,1,3,33.3,0,1,0.0,5,6,83.3,0,1,1,0,2,0,0,1,-3
2020-01-22,TOR vs. PHI,TOR,PHI,Home,W,00:07:38,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,9
2020-01-20,TOR @ ATL,TOR,ATL,Away,W,00:00:43,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1
2020-01-18,TOR @ MIN,TOR,MIN,Away,W,00:01:55,0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-2
2020-01-15,TOR @ OKC,TOR,OKC,Away,W,00:05:51,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,-12
2020-01-12,TOR vs. SAS,TOR,SAS,Home,L,00:12:00,6,2,5,40.0,2,4,50.0,0,0,0.0,0,1,1,4,0,0,0,1,-14
2020-01-08,TOR @ CHA,TOR,CHA,Away,W,00:12:00,5,2,6,33.3,1,3,33.3,0,0,0.0,1,1,2,2,0,0,0,1,-1
2020-01-07,TOR vs. POR,TOR,POR,Home,L,00:06:41,2,1,6,16.7,0,3,0.0,0,0,0.0,0,0,0,2,0,0,0,1,-9
2020-01-04,TOR @ BKN,TOR,BKN,Away,W,00:11:34,16,4,8,50.0,3,5,60.0,5,5,100.0,0,2,2,2,0,0,0,2,14
2020-01-02,TOR @ MIA,TOR,MIA,Away,L,00:08:16,0,0,4,0.0,0,3,0.0,0,0,0.0,1,0,1,1,0,0,0,2,1
2019-12-31,TOR vs. CLE,TOR,CLE,Home,W,00:05:07,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-1
2019-12-29,TOR vs. OKC,TOR,OKC,Home,L,00:11:57,3,0,1,0.0,0,0,0.0,3,3,100.0,0,1,1,2,1,0,3,1,-5
2019-12-28,TOR @ BOS,TOR,BOS,Away,W,00:10:07,11,4,6,66.7,2,4,50.0,1,1,100.0,0,1,1,2,1,0,1,1,4
2019-12-25,TOR vs. BOS,TOR,BOS,Home,L,00:05:53,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-2
2019-12-23,TOR @ IND,TOR,IND,Away,L,00:08:59,8,3,6,50.0,1,4,25.0,1,2,50.0,0,1,1,1,0,0,0,0,-7
2019-12-22,TOR vs. DAL,TOR,DAL,Home,W,00:12:00,20,7,10,70.0,4,6,66.7,2,3,66.7,0,1,1,2,0,0,0,4,26
2019-12-20,TOR vs. WAS,TOR,WAS,Home,W,00:12:00,7,1,2,50.0,1,2,50.0,4,4,100.0,0,2,2,1,1,0,2,3,-7
2019-12-18,TOR @ DET,TOR,DET,Away,W,00:12:00,2,0,3,0.0,0,1,0.0,2,3,66.7,1,2,3,2,0,0,1,2,-4
