RANK,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT
1,Milwaukee Bucks,73,56,17,12.0,98.0,11.1,77.8,1.7,1.5,3.8,2.8,3.5,9.7
2,Toronto Raptors,72,53,19,12.0,102.4,9.5,74.6,2.0,1.0,4.1,3.2,3.4,10.6
3,Los Angeles Lakers,71,52,19,12.0,103.5,9.2,73.0,2.3,1.9,4.0,3.2,4.2,12.2
4,LA Clippers,72,49,23,12.0,108.5,9.6,76.2,1.7,0.9,3.9,2.6,3.6,11.5
5,Boston Celtics,72,48,24,12.0,103.8,8.8,72.6,2.3,1.2,2.6,3.4,3.0,10.8
6,Denver Nuggets,73,46,27,12.0,113.8,8.4,73.0,2.0,1.1,4.2,3.0,4.2,12.7
7,Indiana Pacers,73,45,28,12.0,105.5,9.0,75.1,1.9,1.3,3.5,2.7,3.6,12.7
8,Houston Rockets,72,44,28,12.0,109.9,9.1,73.5,2.1,1.3,4.8,3.7,4.1,13.2
8,Miami Heat,73,44,29,12.0,106.2,9.5,79.1,1.7,1.0,3.7,2.6,3.0,11.1
8,Oklahoma City Thunder,72,44,28,12.0,107.8,8.9,73.3,1.9,1.2,4.1,3.4,2.9,13.0
8,Utah Jazz,72,44,28,12.0,108.5,8.8,76.6,1.6,0.9,4.2,2.8,3.6,12.6
12,Dallas Mavericks,75,43,32,12.0,109.7,9.7,75.8,1.6,1.4,3.7,3.1,5.1,12.6
12,Philadelphia 76ers,73,43,30,12.0,102.8,9.4,77.7,2.1,1.4,4.2,2.5,3.1,12.0
14,Brooklyn Nets,72,35,37,12.0,107.2,9.8,76.6,1.7,1.1,4.1,2.9,3.4,11.3
14,Portland Trail Blazers,74,35,39,12.0,112.9,9.3,73.3,1.8,1.5,3.7,4.0,3.9,11.6
16,Memphis Grizzlies,73,34,39,12.0,105.7,9.5,75.2,1.8,1.3,4.3,2.9,3.5,11.8
16,Phoenix Suns,73,34,39,12.0,111.1,8.6,73.2,1.8,0.9,3.7,3.2,3.6,13.7
18,Orlando Magic,73,33,40,12.0,110.5,8.6,76.9,2.1,1.4,3.8,2.7,3.5,12.5
19,San Antonio Spurs,71,32,39,12.0,110.3,9.5,78.9,1.7,1.3,3.5,2.9,3.1,11.7
20,Sacramento Kings,72,31,41,12.0,109.8,8.5,71.6,1.9,1.0,3.7,3.3,3.1,12.4
21,New Orleans Pelicans,72,30,42,12.0,113.2,9.4,73.6,2.0,1.3,5.6,3.0,4.8,13.7
22,Washington Wizards,72,25,47,12.0,114.5,8.3,74.6,2.1,1.0,4.1,3.3,3.8,13.5
23,Charlotte Hornets,65,23,42,12.0,112.4,8.3,74.3,1.8,1.0,4.4,2.9,3.0,12.6
24,Chicago Bulls,65,22,43,12.0,106.3,8.2,73.0,2.6,1.0,4.3,3.0,4.2,13.2
25,New York Knicks,66,21,45,12.0,107.7,9.7,76.8,1.8,1.1,4.1,2.9,3.3,11.7
26,Atlanta Hawks,67,20,47,12.0,119.1,8.5,71.9,1.8,1.3,5.4,4.0,4.7,14.9
26,Detroit Pistons,66,20,46,12.0,116.3,8.0,72.1,2.0,1.2,4.5,3.4,3.5,13.7
28,Cleveland Cavaliers,65,19,46,12.0,113.0,9.0,75.9,1.4,0.7,4.9,2.8,3.7,14.4
28,Minnesota Timberwolves,64,19,45,12.0,112.7,8.7,74.7,2.2,1.5,4.0,3.2,3.2,13.9
30,Golden State Warriors,65,15,50,12.0,116.2,8.4,73.2,2.0,1.2,4.7,3.4,3.7,13.2
